step,portfolio_value,price,position,balance,shares,reward,action
0,99996.4724112,234.405,매수,92410.3765152,32.3632,-0.0017637944000016433,3.236323
1,100002.11067113999,234.4899,매수,84429.49571819999,66.4106,0.002819229420818743,3.4047475
2,99994.74751068,234.4098,매수,78446.72040959999,91.9246,-0.0036815025255857274,2.5514054
3,99990.69399212,234.37,매수,76120.76572812,101.8472,-0.00202686574090756,0.9922663
4,99994.19577812,234.4,매수,72633.57449812,116.7262,0.0017510559534090059,1.4879061
5,99994.19577812,234.4,매수,71678.44137812,120.801,0.0,0.40748882
6,99994.19577812,234.4,매수,71329.02129812,122.2917,0.0,0.14907163
7,99990.55702712,234.37,매도,71563.42129812,121.2917,-0.0018194811067234328,-0.09422091
8,99990.55702712,234.37,매수,70649.72985311999,125.1902,0.0,0.3898587
9,99953.24313511999,234.09,매수,68757.49678412,133.2639,-0.018658707936733014,0.80737686
10,99967.00092512,234.19,매수,67747.63252412,137.5779,0.006882112860212588,0.43140376
11,99961.17866912001,234.15,매수,65879.14760912,145.5564,-0.002912088962409737,0.797857
12,99937.36985481999,234.001,매수,62546.18626412,159.7907,-0.011909030394104122,1.4234357
13,99945.68252842,234.05,매수,60239.942608419995,169.6464,0.004158941551137531,0.98557025
14,99967.20772042,234.17,매수,57962.589298419996,179.3766,0.010768445147132885,0.97302324
15,100271.88301642,235.89,매도,58487.08326442,177.1368,0.15238761937419112,-0.22398677
16,100224.50977641999,235.6,매도,61737.836176419994,163.356,-0.023622394720690425,-1.3780836
17,100239.98678641999,235.7,매도,63760.67421642,154.77009999999999,0.007721170218007714,-0.85859245
18,100256.37380641999,235.82,매도,68053.14833642,136.55849999999998,0.008173893735097087,-1.8211628
19,100247.57328741999,235.75,매도,70608.68251242,125.72169999999998,-0.004389007235085718,-1.0836864
20,100207.65165741999,235.4,매도,73357.50393742,114.06179999999998,-0.01991151939685249,-1.1659952
21,100186.65839842,235.19,매도,76675.20799742,99.96789999999997,-0.010474878241716003,-1.4093925
22,100169.83970242,235.01,매도,78211.16333042001,93.43719999999998,-0.008393680490429118,-0.653074
23,100168.93185242,235.0,매도,78834.45685242001,90.78499999999998,-0.001,-0.2652277
24,100160.71103097001,234.9045,매도,79939.68535242001,86.08189999999998,-0.004103478642514923,-0.47031912
25,100176.80852645001,235.0937,매도,80174.58985242002,85.08189999999998,0.008035833269507544,-0.011682849
26,100168.66648369,235.0,매수,79748.38848369001,86.89479999999998,-0.004063836171153263,0.18129767
27,100178.68990369,235.11,매수,78754.99648369,91.12199999999997,0.0050032711584663955,0.42272305
28,100157.81978869,234.9,매수,76813.10543869,99.38149999999997,-0.010416444365594146,0.82595295
29,100157.81978869,234.9,매수,74755.96868869,108.13899999999998,0.0,0.87575215
30,100176.73407669,235.06,매수,72389.28071869,118.21429999999998,0.009442242273196814,1.0075377
31,100181.98227269,235.1,매수,69335.71028269001,131.20489999999998,0.0026194685065210454,1.2990695
32,100193.03763269,235.18,매수,67693.04307269001,138.19199999999998,0.005517638875375002,0.6987131
33,100207.33002269,235.28,매수,66580.19483069002,142.92389999999997,0.007132426732283822,0.47319314
34,100208.81284169001,235.29,매수,65319.56459069002,148.28189999999998,0.001,0.53580034
35,100239.21228169001,235.49,매수,64445.391653690014,151.9972,0.01516804716967301,0.37153104
36,100237.19271865001,235.4768,매수,64209.901653690016,152.9972,-0.0010073717630193768,0.091208965
37,100162.76061497002,235.0,매수,63477.474614970015,156.1076,-0.03712798695835128,0.31104523
38,100162.76061497002,235.0,매수,62814.18711497002,158.93009999999998,0.0,0.28225654
39,100166.07376497,235.02,매수,61233.24811497002,165.65749999999997,0.0016538831296409198,0.67274016
40,100208.78461497,235.27,매수,60014.457896970016,170.84339999999997,0.021320018043344695,0.5185903
41,100165.01871497,235.02,매수,59021.57144297002,175.06359999999998,-0.02183735695835413,0.4220211
42,100144.89164097002,234.91,매수,57162.61024697002,182.97339999999997,-0.010046957639604084,0.7909857
43,100133.34800097001,234.85,매수,54949.61710097002,192.39399999999998,-0.005763469214879512,0.94206756
44,100125.20894497001,234.81,매수,52346.91546097002,203.47639999999998,-0.004064108592434728,1.1082457
45,100152.52299797002,234.94,매수,50789.72598397002,210.10809999999998,0.01363994806493801,0.6631713
46,100121.25583197002,234.8,매수,47681.75171197002,223.33689999999999,-0.015609774503952756,1.3228801
47,100118.91521797002,234.79,매수,45163.63911197002,234.0614,-0.0011688896531266107,1.0724528
48,100114.07011797003,234.77,매수,43239.86376797002,242.255,-0.0024196726410004744,0.81936544
49,100170.47800797003,234.99,매수,39919.15950297002,256.3995,0.028171809383802718,1.4144536
50,100153.36766977001,234.9248,매수,38502.40479297002,262.4285,-0.008540609239507318,0.6029074
51,100219.44903277002,235.1738,매수,37807.37977217002,265.387,0.03299008537480791,0.2958566
52,100198.19496409001,235.0886,매도,41552.78122835002,249.4609,-0.010603764481411197,-1.59261
