symbol,timestamp,open,high,low,close,volume
NEM,2025-05-15 15:25:00+00:00,49.0,49.03,49.0,49.03,805.0
FCX,2025-05-15 15:25:00+00:00,38.05,38.075,38.04,38.075,2062.0
T,2025-05-15 15:25:00+00:00,27.235,27.245,27.23,27.245,6670.0
WBD,2025-05-15 15:25:00+00:00,9.135,9.135,9.135,9.135,239.0
TSLA,2025-05-15 15:25:00+00:00,338.895,338.895,338.57,338.64,676.0
AMZN,2025-05-15 15:25:00+00:00,203.39,203.42,202.75,203.28,13279.0
NKE,2025-05-15 15:25:00+00:00,62.33,62.34,62.33,62.33,590.0
PEP,2025-05-15 15:25:00+00:00,130.69,130.69,130.68,130.68,378.0
KVUE,2025-05-15 15:25:00+00:00,23.725,23.75,23.725,23.75,1177.0
PM,2025-05-15 15:25:00+00:00,168.225,168.225,168.21,168.21,216.0
KMI,2025-05-15 15:25:00+00:00,27.89,27.89,27.875,27.875,710.0
ITUB,2025-05-15 15:25:00+00:00,6.665,6.665,6.665,6.665,1200.0
USB,2025-05-15 15:25:00+00:00,44.395,44.395,44.395,44.395,211.0
MUFG,2025-05-15 15:25:00+00:00,13.36,13.365,13.36,13.36,5400.0
AZN,2025-05-15 14:23:00+00:00,67.2,67.2,67.13,67.13,862.0
ABT,2025-05-15 15:25:00+00:00,132.33,132.35,132.28,132.35,1429.0
UNH,2025-05-15 15:25:00+00:00,262.5,262.5,261.5,261.5,6076.0
CSX,2025-05-15 15:25:00+00:00,31.19,31.195,31.19,31.19,895.0
BA,2025-05-15 15:25:00+00:00,207.715,207.74,207.625,207.71,1805.0
RTX,2025-05-15 14:23:00+00:00,133.0,133.1,132.97,133.1,1416.0
NVDA,2025-05-15 15:25:00+00:00,134.17,134.17,134.005,134.1,4627.0
ERIC,2025-05-15 15:25:00+00:00,8.48,8.48,8.48,8.48,23858.0
YMM,2025-05-15 14:23:00+00:00,12.485,12.49,12.485,12.49,200.0
NEE,2025-05-15 15:25:00+00:00,73.85,73.86,73.82,73.83,2404.0
AAPL,2025-05-15 15:25:00+00:00,212.63,212.65,212.385,212.395,2853.0
